Gene n.marker n.marker.test p.value
DDX39A 73 5 0.692502602505845
DNAJB1 55 4 0.897856874003033
GIPC1 53 1 0.50782908953335
NDUFB7 25 4 0.0755706970960012
PKN1 142 10 1
PTGER1 73 5 0.652566779700187
TECR 59 3 0.542548640791316
ZNF333 139 17 1
ADGRE2 126 11 0.54001448369441
ADGRE3 99 10 0.588605648810835
ADGRE5 157 12 0.0798260877841714
CLEC17A 71 3 0.144083561204123
DDX39A 65 5 0.894022618226604
DNAJB1 50 3 0.154726264882654
GIPC1 41 3 0.46013749212161
NDUFB7 30 1 0.638033580830128
PKN1 145 12 0.500775615260695
PTGER1 71 5 0.676043518587638
TECR 42 2 0.0286403164878747
ZNF333 141 7 0.610308765198181
ADGRE2 129 14 0.65623666453013
ADGRE3 102 11 0.00833184044467583
ADGRE5 142 8 0.142546011329613
CLEC17A 71 4 0.764960977003995
DDX39A 79 4 0.514457147587798
DNAJB1 61 2 0.388218055584559
GIPC1 65 6 0.882732771319551
NDUFB7 14 1 0.72431666889349
PKN1 157 11 0.849601679988364
PTGER1 57 7 0.870212006241762
TECR 49 4 0.0538840867682775
ZNF333 146 10 0.454283158308343
ADGRE2 135 12 0.521384675798599
ADGRE3 113 10 0.00340285415170627
ADGRE5 140 11 0.00900719584058829
CLEC17A 54 5 0.19795234597756
DDX39A 70 9 0.745423053119455
DNAJB1 62 4 0.553807499824298
GIPC1 53 5 0.0804324626013216
NDUFB7 34 4 0.439237218464089
PKN1 140 15 1
PTGER1 76 6 0.754125616826143
TECR 40 4 0.406095873258656
ZNF333 126 9 0.494370714796454
ADGRE2 159 9 0.0905545854494114
ADGRE3 106 9 0.046472416114959
ADGRE5 131 12 0.588093687859
CLEC17A 60 5 1
DDX39A 86 5 0.356430349742282
DNAJB1 69 7 0.163864800633533
GIPC1 54 5 0.128825642771606
NDUFB7 24 3 0.128751294255068
PKN1 142 14 1
PTGER1 62 3 0.118660016985558
TECR 53 2 0.0978803613275913
ZNF333 124 8 0.747182172015232
ADGRE2 143 11 0.298927990581482
ADGRE3 112 7 1
ADGRE5 130 13 0.13854699443486
CLEC17A 62 6 0.12921608825795
DDX39A 74 6 0.233115204943193
DNAJB1 67 5 0.257514583710419
GIPC1 47 6 0.804426147188136
NDUFB7 19 2 0.5931964153083
PKN1 150 12 0.801928544802574
PTGER1 67 9 0.726334173619781
TECR 48 5 0.88251050372299
ZNF333 136 9 0.810138683265539
ADGRE2 132 19 0.904806404737055
ADGRE3 104 11 0.00163204026562658
