rep,gene,case_fun,case_syn,control_fun,control_syn
19,ADGRE2,29,16,169,76
19,ADGRE3,35,26,124,117
19,ADGRE5,35,13,146,62
19,CLEC17A,10,2,55,38
19,DDX39A,17,8,69,59
19,DNAJB1,14,6,56,51
19,GIPC1,10,6,53,47
19,NDUFB7,5,1,6,10
19,PKN1,30,30,131,161
19,PTGER1,18,4,82,27
19,TECR,16,5,65,47
19,ZNF333,25,11,96,34
20,ADGRE2,32,19,106,98
20,ADGRE3,29,14,138,83
20,ADGRE5,46,27,142,80
20,CLEC17A,13,9,93,32
20,DDX39A,9,8,74,22
20,DNAJB1,5,2,56,37
20,GIPC1,13,6,58,20
20,NDUFB7,2,0,62,0
20,PKN1,27,24,162,80
20,PTGER1,10,12,47,68
20,TECR,12,5,59,50
20,ZNF333,40,11,169,72
21,ADGRE2,27,18,167,103
21,ADGRE3,21,17,89,80
21,ADGRE5,53,8,110,66
21,CLEC17A,11,10,49,44
21,DDX39A,15,9,49,66
21,DNAJB1,5,4,54,32
21,GIPC1,9,8,49,46
21,NDUFB7,4,7,43,36
21,PKN1,21,23,157,124
21,PTGER1,11,11,45,61
21,TECR,14,1,81,26
21,ZNF333,32,15,164,62
22,ADGRE2,33,14,152,74
22,ADGRE3,31,17,100,91
22,ADGRE5,41,12,166,69
22,CLEC17A,6,5,52,29
22,DDX39A,10,5,56,31
22,DNAJB1,12,7,64,28
22,GIPC1,6,22,40,79
22,NDUFB7,4,3,25,32
22,PKN1,29,16,146,85
22,PTGER1,10,6,70,52
22,TECR,17,10,43,36
22,ZNF333,30,19,150,124
23,ADGRE2,21,16,117,83
23,ADGRE3,41,8,130,81
23,ADGRE5,21,17,128,77
23,CLEC17A,7,8,48,41
23,DDX39A,17,7,90,29
23,DNAJB1,15,7,63,27
23,GIPC1,16,1,58,10
23,NDUFB7,0,4,9,16
23,PKN1,18,42,94,170
23,PTGER1,14,12,88,48
23,TECR,17,9,55,33
23,ZNF333,26,4,187,43
24,ADGRE2,24,12,142,65
24,ADGRE3,44,19,98,88
24,ADGRE5,24,16,107,89
24,CLEC17A,21,3,64,42
24,DDX39A,11,7,54,57
24,DNAJB1,6,3,45,23
24,GIPC1,18,8,85,41
24,NDUFB7,5,0,40,6
24,PKN1,39,19,174,128
24,PTGER1,9,6,65,34
24,TECR,14,13,37,47
24,ZNF333,27,17,137,69
25,ADGRE2,7,8,103,57
25,ADGRE3,30,18,100,81
25,ADGRE5,45,21,153,99
25,CLEC17A,7,4,87,47
25,DDX39A,10,12,60,39
25,DNAJB1,15,8,80,45
25,GIPC1,22,14,65,41
25,NDUFB7,12,5,24,29
25,PKN1,33,14,212,77
25,PTGER1,13,7,110,36
25,TECR,17,11,74,46
25,ZNF333,23,5,116,61
26,ADGRE2,26,19,113,60
26,ADGRE3,41,16,64,72
26,ADGRE5,40,17,163,62
26,CLEC17A,10,10,88,50
26,DDX39A,7,6,50,53
26,DNAJB1,10,9,56,33
26,GIPC1,13,9,74,39
26,NDUFB7,1,0,24,2
26,PKN1,30,22,147,114
26,PTGER1,10,7,75,70
26,TECR,12,7,52,58
26,ZNF333,27,9,144,63
27,ADGRE2,27,13,115,88
27,ADGRE3,27,15,94,49
27,ADGRE5,48,18,167,95
27,CLEC17A,13,9,51,34
27,DDX39A,11,4,41,50
27,DNAJB1,12,9,66,40
27,GIPC1,16,7,85,21
27,NDUFB7,11,6,59,22
27,PKN1,37,20,189,89
27,PTGER1,8,12,63,59
27,TECR,16,9,61,30
27,ZNF333,29,15,137,47
28,ADGRE2,23,20,111,91
28,ADGRE3,43,14,109,106
28,ADGRE5,49,21,112,96
28,CLEC17A,19,15,87,51
28,DDX39A,14,3,75,19
28,DNAJB1,12,7,66,41
28,GIPC1,6,9,22,32
28,NDUFB7,10,2,29,14
28,PKN1,28,23,195,83
28,PTGER1,14,9,50,57
28,TECR,14,0,64,39
28,ZNF333,33,17,185,89
29,ADGRE2,30,22,107,130
29,ADGRE3,39,12,158,59
29,ADGRE5,54,19,146,104
29,CLEC17A,11,12,48,77
29,DDX39A,20,5,71,28
29,DNAJB1,15,2,111,23
29,GIPC1,19,10,68,50
29,NDUFB7,9,4,48,10
29,PKN1,31,18,169,94
29,PTGER1,10,14,54,35
29,TECR,19,5,65,9
29,ZNF333,24,5,97,58
30,ADGRE2,32,24,173,98
30,ADGRE3,47,23,133,109
30,ADGRE5,39,13,154,75
30,CLEC17A,10,6,47,39
30,DDX39A,10,8,54,51
30,DNAJB1,19,12,108,41
30,GIPC1,5,2,66,18
30,NDUFB7,5,2,26,10
30,PKN1,24,5,205,89
30,PTGER1,8,12,76,77
30,TECR,10,10,57,69
30,ZNF333,28,12,126,68
31,ADGRE2,39,15,193,87
31,ADGRE3,44,11,148,64
31,ADGRE5,35,28,119,118
31,CLEC17A,15,3,110,21
31,DDX39A,7,9,60,51
31,DNAJB1,6,6,47,37
31,GIPC1,17,9,89,36
31,NDUFB7,5,3,14,11
31,PKN1,27,20,139,92
31,PTGER1,8,4,37,53
31,TECR,19,4,90,53
31,ZNF333,22,18,133,82
32,ADGRE2,25,20,166,107
32,ADGRE3,35,6,134,50
32,ADGRE5,34,25,121,114
32,CLEC17A,15,6,98,28
32,DDX39A,10,13,57,52
32,DNAJB1,11,4,41,36
32,GIPC1,16,6,74,26
32,NDUFB7,1,0,13,10
32,PKN1,24,23,123,147
32,PTGER1,10,6,73,27
32,TECR,14,2,46,6
32,ZNF333,22,15,142,84
33,ADGRE2,29,30,165,127
33,ADGRE3,42,11,208,123
33,ADGRE5,40,23,153,85
