ADGRE2 ADGRE3 ADGRE5 CLEC17A DDX39A DNAJB1 GIPC1 NDUFB7 PKN1 PTGER1 TECR ZNF333
0.777644578066501 0.284484629267799 0.596356250595669 0.552989564922915 0.213017944485586 1 0.547789313082675 0.656821761800185 0.82693273501221 1 1 0.59555979080684
1 0.529859535285044 0.149662530907911 1 0.524103424098596 1 1 1 0.869249141540199 0.302594843773833 0.459331349684452 0.731211658186595
0.0215325749908378 0.627714658802472 0.00308575654695931 1 0.708824095369631 0.927525419937451 0.17212938391625 0.766331862899042 0.705417467616762 0.431806682043059 0.121020461069213 0.341258855327727
0.0781268366015646 0.375211523574632 0.0822475884777096 0.456287564241569 0.861712549749681 0.341258855327727 0.627792979842791 1 0.737423920941251 0.431792889325944 1 0.1927708360452
0.535006889481297 0.816490966398277 0.643377671230586 1 0.181624548406224 1 0.21484137860391 0.923658066821082 0.706299753289012 0.211951993612747 0.628067185680308 1
0.524458714856042 0.536191364244385 1 0.521384582788495 0.788878429277014 1 0.341258855327727 1 0.550491661799722 0.484963850351148 1 0.665638172282653
0.470364903367649 1 0.00481781154357863 0.877505696006548 1 0.800014246776241 0.630426745634667 1 0.177667851354281 0.564395892266618 0.443372712542055 0.670651015731742
0.326786060177117 0.591169623461246 0.157536107883954 0.517503831418267 0.09935819368177 0.662184996272454 1 1 0.694657286220448 0.702102022397141 0.0384531924482115 0.739976384803141
0.660306115040281 0.429352410251198 0.873165420027552 1 1 1 0.264761429878338 1 0.555528220781524 0.722447178296701 1 0.906716128073854
0.71753629788302 0.0767942469561129 0.236253884822889 0.705406639192182 1 0.844634801895944 0.176885612545711 1 1 0.663369496094221 0.14005049840777 0.449601417816354
0.189721105846183 0.180296725789089 0.318505698000949 0.0382820163554327 1 0.733169866320333 0.463333616557146 1 0.377102321184735 1 0.037973063151913 0.230286875448084
0.761081339569908 0.420635754963396 0.281437559064928 1 0.574338919455988 0.763322364014471 0.728509256292176 1 0.305449711820808 1 1 0.178715261705694
0.54456833857027 0.214372542394195 1 1 0.829121111216528 0.706299753289012 0.457918649922088 1 0.746734171611963 0.34875641995975 1 0.592547207356563
0.716934570830801 0.0972561108122599 0.408215837662109 0.117266478163323 0.23108463293966 0.706299753289012 0.73304187506321 1 0.170864138778335 1 0.269485926487206 0.903064990074077
1 1 0.191880985799634 1 0.656821761800185 0.385117144415306 0.920339913459537 1 0.592079101407908 1 0.040434107793081 0.803852987702908
1 0.156905324650016 0.110524264092689 1 1 1 0.0833573124038916 1 0.656347749998274 0.0031173653987778 0.0228994161011468 0.853553403172148
0.469405790303133 0.237453840795784 0.359992223864856 0.423312201932524 0.551966346000922 1 1 0.770150531681312 0.30346533034499 1 0.0195744298239041 0.627446012471601
0.867410076501168 0.117302944083463 0.667284897126569 1 0.494296446259138 1 1 1 0.652818795181444 1 1 0.140360955240001
0.23244368408122 0.218606405684495 0.585001497479713 0.53195935463386 1 0.751508411532115 0.429729543571049 0.373279562233637 0.143919607154269 1 0.433265496960603 0.686358051618584
