gene fun syn ratio
ADGRE5 139 57 2.43859649122807
CLEC17A 53 23 2.30434782608696
DDX39A 65 35 1.85714285714286
DNAJB1 49 16 3.0625
GIPC1 46 28 1.64285714285714
NDUFB7 26 13 2
PKN1 136 82 1.65853658536585
PTGER1 55 29 1.89655172413793
TECR 46 19 2.42105263157895
ZNF333 113 47 2.40425531914894
ADGRE2 138 74 1.86486486486486
ADGRE3 98 44 2.22727272727273
ADGRE5 148 58 2.55172413793103
CLEC17A 45 26 1.73076923076923
DDX39A 66 28 2.35714285714286
DNAJB1 63 24 2.625
GIPC1 51 25 2.04
NDUFB7 19 10 1.9
PKN1 169 87 1.94252873563218
PTGER1 64 36 1.77777777777778
TECR 45 24 1.875
ZNF333 107 48 2.22916666666667
ADGRE2 135 72 1.875
ADGRE3 107 45 2.37777777777778
ADGRE5 136 63 2.15873015873016
CLEC17A 52 25 2.08
DDX39A 59 31 1.90322580645161
DNAJB1 59 22 2.68181818181818
GIPC1 44 36 1.22222222222222
NDUFB7 26 12 2.16666666666667
PKN1 149 89 1.67415730337079
PTGER1 57 38 1.5
TECR 46 19 2.42105263157895
ZNF333 108 45 2.4
ADGRE2 137 75 1.82666666666667
ADGRE3 122 54 2.25925925925926
ADGRE5 139 63 2.20634920634921
CLEC17A 63 23 2.73913043478261
DDX39A 55 31 1.7741935483871
DNAJB1 47 23 2.04347826086957
GIPC1 53 28 1.89285714285714
NDUFB7 23 13 1.76923076923077
PKN1 154 71 2.16901408450704
PTGER1 59 32 1.84375
TECR 41 21 1.95238095238095
ZNF333 105 46 2.28260869565217
ADGRE2 140 65 2.15384615384615
ADGRE3 93 46 2.02173913043478
ADGRE5 131 69 1.89855072463768
CLEC17A 55 30 1.83333333333333
DDX39A 69 31 2.2258064516129
DNAJB1 59 27 2.18518518518519
GIPC1 42 25 1.68
NDUFB7 21 12 1.75
PKN1 137 82 1.67073170731707
PTGER1 63 44 1.43181818181818
TECR 47 16 2.9375
ZNF333 113 57 1.98245614035088
ADGRE2 153 73 2.0958904109589
ADGRE3 89 52 1.71153846153846
ADGRE5 140 61 2.29508196721311
CLEC17A 56 29 1.93103448275862
DDX39A 73 25 2.92
DNAJB1 58 30 1.93333333333333
GIPC1 39 26 1.5
NDUFB7 16 11 1.45454545454545
PKN1 128 90 1.42222222222222
PTGER1 73 36 2.02777777777778
TECR 55 20 2.75
ZNF333 124 46 2.69565217391304
ADGRE2 145 73 1.98630136986301
ADGRE3 91 46 1.97826086956522
ADGRE5 129 72 1.79166666666667
CLEC17A 64 24 2.66666666666667
DDX39A 66 31 2.12903225806452
DNAJB1 63 30 2.1
GIPC1 43 35 1.22857142857143
NDUFB7 24 10 2.4
PKN1 136 90 1.51111111111111
PTGER1 58 42 1.38095238095238
TECR 38 17 2.23529411764706
ZNF333 121 48 2.52083333333333
ADGRE2 133 68 1.95588235294118
ADGRE3 81 58 1.39655172413793
ADGRE5 129 58 2.22413793103448
CLEC17A 63 37 1.7027027027027
DDX39A 79 32 2.46875
DNAJB1 63 28 2.25
GIPC1 56 22 2.54545454545455
NDUFB7 21 9 2.33333333333333
PKN1 151 79 1.91139240506329
PTGER1 58 34 1.70588235294118
TECR 53 27 1.96296296296296
ZNF333 99 54 1.83333333333333
ADGRE2 143 70 2.04285714285714
ADGRE3 97 55 1.76363636363636
ADGRE5 124 59 2.10169491525424
CLEC17A 51 27 1.88888888888889
DDX39A 63 39 1.61538461538462
DNAJB1 63 17 3.70588235294118
GIPC1 46 30 1.53333333333333
NDUFB7 24 11 2.18181818181818
PKN1 145 91 1.59340659340659
PTGER1 47 38 1.23684210526316
TECR 51 24 2.125
ZNF333 124 43 2.88372093023256
ADGRE2 122 62 1.96774193548387
ADGRE3 110 50 2.2
ADGRE5 140 73 1.91780821917808
CLEC17A 54 15 3.6
DDX39A 64 34 1.88235294117647
DNAJB1 65 16 4.0625
GIPC1 51 27 1.88888888888889
NDUFB7 19 7 2.71428571428571
PKN1 138 84 1.64285714285714
PTGER1 58 37 1.56756756756757
TECR 48 23 2.08695652173913
ZNF333 112 43 2.6046511627907
ADGRE2 156 73 2.13698630136986
ADGRE3 88 46 1.91304347826087
ADGRE5 132 67 1.97014925373134
CLEC17A 62 22 2.81818181818182
DDX39A 66 34 1.94117647058824
DNAJB1 49 29 1.68965517241379
GIPC1 46 33 1.39393939393939
NDUFB7 23 11 2.09090909090909
PKN1 157 85 1.84705882352941
PTGER1 58 30 1.93333333333333
TECR 54 29 1.86206896551724
ZNF333 108 47 2.29787234042553
ADGRE2 160 72 2.22222222222222
ADGRE3 85 51 1.66666666666667
ADGRE5 140 62 2.25806451612903
CLEC17A 51 34 1.5
DDX39A 71 40 1.775
DNAJB1 60 18 3.33333333333333
GIPC1 33 30 1.1
NDUFB7 21 11 1.90909090909091
PKN1 141 82 1.71951219512195
PTGER1 58 43 1.34883720930233
TECR 48 24 2
ZNF333 103 54 1.90740740740741
ADGRE2 133 76 1.75
ADGRE3 95 40 2.375
ADGRE5 129 63 2.04761904761905
CLEC17A 54 31 1.74193548387097
DDX39A 61 30 2.03333333333333
DNAJB1 45 25 1.8
GIPC1 50 23 2.17391304347826
NDUFB7 21 11 1.90909090909091
PKN1 161 74 2.17567567567568
PTGER1 61 39 1.56410256410256
TECR 41 24 1.70833333333333
ZNF333 94 44 2.13636363636364
ADGRE2 140 65 2.15384615384615
ADGRE3 105 57 1.84210526315789
ADGRE5 127 63 2.01587301587302
CLEC17A 68 31 2.19354838709677
DDX39A 60 36 1.66666666666667
DNAJB1 63 31 2.03225806451613
GIPC1 63 21 3
NDUFB7 26 12 2.16666666666667
PKN1 141 84 1.67857142857143
PTGER1 45 28 1.60714285714286
TECR 41 22 1.86363636363636
ZNF333 113 47 2.40425531914894
ADGRE2 141 83 1.69879518072289
ADGRE3 110 49 2.24489795918367
ADGRE5 143 58 2.46551724137931
CLEC17A 65 23 2.82608695652174
DDX39A 64 28 2.28571428571429
DNAJB1 55 24 2.29166666666667
GIPC1 48 29 1.6551724137931
NDUFB7 16 13 1.23076923076923
PKN1 138 74 1.86486486486486
PTGER1 58 32 1.8125
TECR 49 20 2.45
ZNF333 98 42 2.33333333333333
ADGRE2 130 69 1.88405797101449
ADGRE3 94 69 1.36231884057971
ADGRE5 117 75 1.56
CLEC17A 58 20 2.9
DDX39A 77 35 2.2
DNAJB1 53 21 2.52380952380952
GIPC1 50 24 2.08333333333333
NDUFB7 26 7 3.71428571428571
PKN1 158 94 1.68085106382979
PTGER1 56 35 1.6
TECR 54 22 2.45454545454545
ZNF333 105 45 2.33333333333333
ADGRE2 157 67 2.34328358208955
ADGRE3 95 49 1.93877551020408
ADGRE5 112 73 1.53424657534247
CLEC17A 65 28 2.32142857142857
DDX39A 60 30 2
DNAJB1 53 33 1.60606060606061
GIPC1 44 29 1.51724137931034
NDUFB7 19 14 1.35714285714286
PKN1 159 66 2.40909090909091
PTGER1 52 37 1.40540540540541
TECR 49 22 2.22727272727273
ZNF333 115 37 3.10810810810811
ADGRE2 144 67 2.14925373134328
ADGRE3 109 64 1.703125
ADGRE5 138 68 2.02941176470588
CLEC17A 64 21 3.04761904761905
DDX39A 70 25 2.8
DNAJB1 59 24 2.45833333333333
GIPC1 48 29 1.6551724137931
NDUFB7 21 12 1.75
PKN1 111 79 1.40506329113924
PTGER1 48 24 2
TECR 38 22 1.72727272727273
ZNF333 111 46 2.41304347826087
ADGRE2 141 68 2.07352941176471
ADGRE3 107 43 2.48837209302326
ADGRE5 151 63 2.3968253968254
CLEC17A 70 24 2.91666666666667
DDX39A 60 36 1.66666666666667
DNAJB1 50 28 1.78571428571429
GIPC1 49 28 1.75
NDUFB7 12 13 0.923076923076923
PKN1 131 88 1.48863636363636
PTGER1 62 42 1.47619047619048
TECR 48 22 2.18181818181818
ZNF333 119 50 2.38
ADGRE2 112 85 1.31764705882353
ADGRE3 125 56 2.23214285714286
ADGRE5 132 66 2
CLEC17A 47 25 1.88
DDX39A 66 33 2
DNAJB1 52 26 2
GIPC1 46 31 1.48387096774194
NDUFB7 20 18 1.11111111111111
PKN1 144 70 2.05714285714286
PTGER1 70 40 1.75
TECR 47 18 2.61111111111111
ZNF333 118 45 2.62222222222222
ADGRE2 146 67 2.17910447761194
ADGRE3 104 55 1.89090909090909
ADGRE5 148 61 2.42622950819672
CLEC17A 45 32 1.40625
DDX39A 63 40 1.575
DNAJB1 46 20 2.3
GIPC1 45 29 1.55172413793103
NDUFB7 22 11 2
PKN1 171 83 2.06024096385542
PTGER1 49 48 1.02083333333333
TECR 34 21 1.61904761904762
ZNF333 99 39 2.53846153846154
ADGRE2 133 72 1.84722222222222
ADGRE3 101 49 2.06122448979592
ADGRE5 151 69 2.18840579710145
CLEC17A 60 21 2.85714285714286
DDX39A 64 27 2.37037037037037
DNAJB1 53 28 1.89285714285714
GIPC1 50 26 1.92307692307692
NDUFB7 19 12 1.58333333333333
PKN1 136 81 1.67901234567901
PTGER1 50 40 1.25
TECR 49 31 1.58064516129032
ZNF333 98 34 2.88235294117647
ADGRE2 134 70 1.91428571428571
ADGRE3 89 46 1.93478260869565
ADGRE5 137 62 2.20967741935484
CLEC17A 50 24 2.08333333333333
DDX39A 71 29 2.44827586206897
DNAJB1 52 24 2.16666666666667
GIPC1 47 19 2.47368421052632
NDUFB7 29 18 1.61111111111111
PKN1 150 89 1.68539325842697
PTGER1 60 37 1.62162162162162
TECR 48 19 2.52631578947368
ZNF333 108 42 2.57142857142857
ADGRE2 141 69 2.04347826086957
ADGRE3 99 52 1.90384615384615
ADGRE5 131 65 2.01538461538462
CLEC17A 62 31 2
DDX39A 52 23 2.26086956521739
DNAJB1 59 25 2.36
GIPC1 62 28 2.21428571428571
NDUFB7 22 14 1.57142857142857
PKN1 145 85 1.70588235294118
PTGER1 51 30 1.7
TECR 42 15 2.8
ZNF333 130 50 2.6
ADGRE2 124 74 1.67567567567568
ADGRE3 86 46 1.8695652173913
ADGRE5 145 68 2.13235294117647
CLEC17A 66 29 2.27586206896552
DDX39A 46 41 1.1219512195122
DNAJB1 64 24 2.66666666666667
GIPC1 47 22 2.13636363636364
NDUFB7 20 11 1.81818181818182
PKN1 143 75 1.90666666666667
PTGER1 49 41 1.19512195121951
TECR 43 23 1.8695652173913
ZNF333 120 51 2.35294117647059
ADGRE2 135 72 1.875
ADGRE3 95 47 2.02127659574468
ADGRE5 114 62 1.83870967741935
CLEC17A 60 33 1.81818181818182
DDX39A 73 29 2.51724137931034
DNAJB1 53 30 1.76666666666667
GIPC1 42 32 1.3125
NDUFB7 28 12 2.33333333333333
PKN1 148 75 1.97333333333333
PTGER1 54 32 1.6875
TECR 49 28 1.75
ZNF333 115 49 2.3469387755102
ADGRE2 126 72 1.75
ADGRE3 98 53 1.84905660377358
ADGRE5 144 72 2
CLEC17A 57 22 2.59090909090909
DDX39A 54 27 2
