gene fun syn ratio
DNAJB1 66 35 1.88571428571429
GIPC1 53 27 1.96296296296296
NDUFB7 25 7 3.57142857142857
PKN1 158 72 2.19444444444444
PTGER1 68 46 1.47826086956522
TECR 46 28 1.64285714285714
ZNF333 111 36 3.08333333333333
ADGRE2 146 83 1.75903614457831
ADGRE3 95 47 2.02127659574468
ADGRE5 118 58 2.03448275862069
CLEC17A 48 25 1.92
DDX39A 71 28 2.53571428571429
DNAJB1 60 24 2.5
GIPC1 42 25 1.68
NDUFB7 19 11 1.72727272727273
PKN1 163 83 1.96385542168675
PTGER1 70 35 2
TECR 36 39 0.923076923076923
ZNF333 114 49 2.3265306122449
ADGRE2 150 67 2.23880597014925
ADGRE3 78 64 1.21875
ADGRE5 137 63 2.17460317460317
CLEC17A 60 24 2.5
DDX39A 63 33 1.90909090909091
DNAJB1 47 22 2.13636363636364
GIPC1 52 18 2.88888888888889
NDUFB7 19 9 2.11111111111111
PKN1 137 80 1.7125
PTGER1 50 45 1.11111111111111
TECR 53 21 2.52380952380952
ZNF333 108 53 2.0377358490566
ADGRE2 151 59 2.5593220338983
ADGRE3 88 57 1.54385964912281
ADGRE5 141 64 2.203125
CLEC17A 65 36 1.80555555555556
DDX39A 63 32 1.96875
DNAJB1 52 31 1.67741935483871
GIPC1 57 27 2.11111111111111
NDUFB7 17 8 2.125
PKN1 146 77 1.8961038961039
PTGER1 56 38 1.47368421052632
TECR 44 26 1.69230769230769
ZNF333 109 50 2.18
ADGRE2 143 71 2.01408450704225
ADGRE3 111 68 1.63235294117647
ADGRE5 159 50 3.18
CLEC17A 58 37 1.56756756756757
DDX39A 57 28 2.03571428571429
DNAJB1 52 22 2.36363636363636
GIPC1 53 30 1.76666666666667
NDUFB7 18 12 1.5
PKN1 138 86 1.6046511627907
PTGER1 56 40 1.4
TECR 41 28 1.46428571428571
ZNF333 94 52 1.80769230769231
ADGRE2 132 79 1.67088607594937
ADGRE3 90 38 2.36842105263158
ADGRE5 120 67 1.7910447761194
CLEC17A 59 25 2.36
DDX39A 71 32 2.21875
DNAJB1 50 20 2.5
GIPC1 47 31 1.51612903225806
NDUFB7 23 11 2.09090909090909
PKN1 136 83 1.63855421686747
PTGER1 53 26 2.03846153846154
TECR 56 24 2.33333333333333
ZNF333 109 54 2.01851851851852
ADGRE2 134 66 2.03030303030303
ADGRE3 115 58 1.98275862068966
ADGRE5 126 56 2.25
CLEC17A 56 30 1.86666666666667
DDX39A 71 39 1.82051282051282
DNAJB1 72 20 3.6
GIPC1 53 26 2.03846153846154
NDUFB7 23 12 1.91666666666667
PKN1 151 79 1.91139240506329
PTGER1 48 43 1.11627906976744
TECR 35 18 1.94444444444444
ZNF333 108 38 2.84210526315789
ADGRE2 127 78 1.62820512820513
ADGRE3 99 51 1.94117647058824
ADGRE5 123 70 1.75714285714286
CLEC17A 59 24 2.45833333333333
DDX39A 55 28 1.96428571428571
DNAJB1 53 26 2.03846153846154
GIPC1 56 31 1.80645161290323
NDUFB7 26 8 3.25
PKN1 146 85 1.71764705882353
PTGER1 54 32 1.6875
TECR 53 21 2.52380952380952
ZNF333 106 47 2.25531914893617
ADGRE2 154 65 2.36923076923077
ADGRE3 86 43 2
ADGRE5 144 84 1.71428571428571
CLEC17A 64 25 2.56
DDX39A 56 22 2.54545454545455
DNAJB1 56 24 2.33333333333333
GIPC1 46 34 1.35294117647059
NDUFB7 23 11 2.09090909090909
PKN1 165 85 1.94117647058824
PTGER1 65 36 1.80555555555556
TECR 44 31 1.41935483870968
ZNF333 123 37 3.32432432432432
ADGRE2 150 70 2.14285714285714
ADGRE3 110 56 1.96428571428571
ADGRE5 125 58 2.1551724137931
CLEC17A 58 32 1.8125
DDX39A 57 25 2.28
DNAJB1 67 28 2.39285714285714
GIPC1 64 26 2.46153846153846
NDUFB7 18 17 1.05882352941176
PKN1 150 82 1.82926829268293
PTGER1 48 38 1.26315789473684
TECR 47 20 2.35
ZNF333 108 36 3
ADGRE2 155 63 2.46031746031746
ADGRE3 104 46 2.26086956521739
ADGRE5 145 62 2.33870967741935
CLEC17A 65 24 2.70833333333333
DDX39A 53 35 1.51428571428571
DNAJB1 54 30 1.8
GIPC1 42 28 1.5
NDUFB7 22 18 1.22222222222222
PKN1 172 89 1.93258426966292
PTGER1 52 40 1.3
TECR 43 17 2.52941176470588
ZNF333 105 44 2.38636363636364
ADGRE2 142 69 2.05797101449275
ADGRE3 100 55 1.81818181818182
ADGRE5 135 68 1.98529411764706
CLEC17A 46 29 1.58620689655172
DDX39A 74 24 3.08333333333333
DNAJB1 63 27 2.33333333333333
GIPC1 50 26 1.92307692307692
NDUFB7 15 11 1.36363636363636
PKN1 145 84 1.72619047619048
PTGER1 55 34 1.61764705882353
TECR 37 21 1.76190476190476
ZNF333 112 49 2.28571428571429
ADGRE2 113 65 1.73846153846154
ADGRE3 93 59 1.57627118644068
ADGRE5 148 76 1.94736842105263
CLEC17A 47 30 1.56666666666667
DDX39A 58 21 2.76190476190476
DNAJB1 70 25 2.8
GIPC1 50 31 1.61290322580645
NDUFB7 18 11 1.63636363636364
PKN1 152 83 1.83132530120482
PTGER1 49 31 1.58064516129032
TECR 57 23 2.47826086956522
ZNF333 111 50 2.22
ADGRE2 146 77 1.8961038961039
ADGRE3 102 46 2.21739130434783
ADGRE5 134 60 2.23333333333333
CLEC17A 68 25 2.72
DDX39A 60 27 2.22222222222222
DNAJB1 61 35 1.74285714285714
GIPC1 38 25 1.52
NDUFB7 17 12 1.41666666666667
PKN1 145 71 2.04225352112676
PTGER1 43 39 1.1025641025641
TECR 39 23 1.69565217391304
ZNF333 98 41 2.39024390243902
ADGRE2 126 69 1.82608695652174
