gene fun syn ratio
NDUFB7 26 16 1.625
PKN1 145 97 1.49484536082474
PTGER1 79 43 1.83720930232558
TECR 48 19 2.52631578947368
ZNF333 114 50 2.28
ADGRE2 149 70 2.12857142857143
ADGRE3 119 67 1.77611940298507
ADGRE5 149 67 2.22388059701493
CLEC17A 70 24 2.91666666666667
DDX39A 76 33 2.3030303030303
DNAJB1 65 31 2.09677419354839
GIPC1 55 27 2.03703703703704
NDUFB7 14 14 1
PKN1 140 102 1.37254901960784
PTGER1 71 26 2.73076923076923
TECR 36 30 1.2
ZNF333 124 50 2.48
ADGRE2 159 87 1.82758620689655
ADGRE3 108 67 1.61194029850746
ADGRE5 149 60 2.48333333333333
CLEC17A 58 25 2.32
DDX39A 66 38 1.73684210526316
DNAJB1 49 35 1.4
GIPC1 55 31 1.7741935483871
NDUFB7 19 12 1.58333333333333
PKN1 161 79 2.0379746835443
PTGER1 75 30 2.5
TECR 49 23 2.1304347826087
ZNF333 113 49 2.30612244897959
ADGRE2 157 66 2.37878787878788
ADGRE3 109 55 1.98181818181818
